2024-09-21 17:39:49 status half-installed libzstd1:armhf 1.4.4+dfsg-3
2024-09-21 17:39:49 status unpacked libzstd1:armhf 1.4.4+dfsg-3
2024-09-21 17:39:50 install login:armhf <none> 1:4.8.1-1ubuntu5
2024-09-21 17:39:50 status half-installed login:armhf 1:4.8.1-1ubuntu5
2024-09-21 17:39:51 status unpacked login:armhf 1:4.8.1-1ubuntu5
2024-09-21 17:39:51 install logsave:armhf <none> 1.45.5-2ubuntu1
2024-09-21 17:39:51 status half-installed logsave:armhf 1.45.5-2ubuntu1
2024-09-21 17:39:52 status unpacked logsave:armhf 1.45.5-2ubuntu1
2024-09-21 17:39:53 install lsb-base:all <none> 11.1.0ubuntu2
2024-09-21 17:39:53 status half-installed lsb-base:all 11.1.0ubuntu2
2024-09-21 17:39:54 status unpacked lsb-base:all 11.1.0ubuntu2
2024-09-21 17:39:54 upgrade mawk:armhf 1.3.4.20200120-2 1.3.4.20200120-2
2024-09-21 17:39:54 status half-configured mawk:armhf 1.3.4.20200120-2
2024-09-21 17:39:55 status unpacked mawk:armhf 1.3.4.20200120-2
2024-09-21 17:39:55 status half-installed mawk:armhf 1.3.4.20200120-2
2024-09-21 17:39:55 status unpacked mawk:armhf 1.3.4.20200120-2
2024-09-21 17:39:55 install mount:armhf <none> 2.34-0.1ubuntu9
2024-09-21 17:39:55 status half-installed mount:armhf 2.34-0.1ubuntu9
2024-09-21 17:39:56 status unpacked mount:armhf 2.34-0.1ubuntu9
2024-09-21 17:39:56 install ncurses-base:all <none> 6.2-0ubuntu2
2024-09-21 17:39:56 status half-installed ncurses-base:all 6.2-0ubuntu2
2024-09-21 17:39:57 status unpacked ncurses-base:all 6.2-0ubuntu2
2024-09-21 17:39:57 install ncurses-bin:armhf <none> 6.2-0ubuntu2
2024-09-21 17:39:57 status half-installed ncurses-bin:armhf 6.2-0ubuntu2
2024-09-21 17:39:57 status unpacked ncurses-bin:armhf 6.2-0ubuntu2
2024-09-21 17:39:58 install passwd:armhf <none> 1:4.8.1-1ubuntu5
